,Tag Id,Test Date,Ambient Bias mVdc,Max Deviation from Amb mVdc,Min Deviation from Amb mVdc,Pk-Pk mVdc,Max Deviation after Calibration,Min Deviation after Calibration,Meets -105 temp spec,Meets -106 temp spec,-105 Post-Calibration meets temp spec,-106 Post-Calibration meets temp spec,,,,,,
28,J8293,6/25/2021 9:15,-7.488907,9.190544,-5.177223,14.367767,0.588906767,-0.980016174,FALSE,FALSE,TRUE,FALSE,,,,,,
29,J8301,6/25/2021 7:55,-2.933707,3.1324045,-0.82959,3.9619945,1.527703456,-2.089055878,FALSE,FALSE,FALSE,FALSE,,,,,,
30,J8303,6/25/2021 7:55,15.63249,1.35012,-4.72799,6.07811,1.215685863,-1.665925408,FALSE,FALSE,TRUE,FALSE,,,,,,
31,J8304,6/25/2021 7:55,7.752122,2.727188,-1.722298,4.449486,0.244022729,-0.549626438,FALSE,FALSE,TRUE,FALSE,,,,,,
32,J8279,6/25/2021 7:55,1.72037,0.05172,-0.854163,0.905883,0.221389023,-0.39795491,TRUE,FALSE,TRUE,TRUE,,,,,,
33,J8302,6/25/2021 7:55,9.884634,2.414556,-0.444913,2.859469,1.281097385,-1.438269232,FALSE,FALSE,TRUE,FALSE,,,,,,
34,J8299,6/25/2021 7:55,5.927884,5.991916,-2.163023,8.154939,1.209758668,-1.586194991,FALSE,FALSE,TRUE,FALSE,,,,,,
35,J8211,6/24/2021 18:35,8.574864,1.683696,-5.613324,7.29702,0.528732356,-0.89991928,FALSE,FALSE,TRUE,FALSE,,,,,,
36,J8280,6/24/2021 18:35,-0.8872171,2.1386881,-5.5729309,7.711619,1.219933075,-0.974194851,FALSE,FALSE,TRUE,FALSE,,,,,,
37,J8284,6/24/2021 18:35,5.294995,4.162229,-2.063389,6.225618,0.256411319,-0.419392584,FALSE,FALSE,TRUE,TRUE,,,,,,
38,J8290,6/24/2021 18:35,5.276571,2.230359,-1.729843,3.960202,0.25627089,-0.635132907,FALSE,FALSE,TRUE,FALSE,,,,,,
39,J8261,6/24/2021 18:35,7.416152,1.325489,-0.827896,2.153385,1.09487665,-1.335325227,TRUE,FALSE,TRUE,FALSE,,,,,,
40,J8230,6/24/2021 18:35,5.139326,5.490044,-2.964991,8.455035,0.371944967,-0.639695461,FALSE,FALSE,TRUE,FALSE,,,,,,
41,J8235,6/24/2021 18:35,5.359607,2.735246,-1.371747,4.106993,0.335457525,-0.449191974,FALSE,FALSE,TRUE,TRUE,,,,,,
42,J8291,6/24/2021 18:35,0.9550842,3.8691338,-2.0493722,5.918506,0.186198625,-0.252938115,FALSE,FALSE,TRUE,TRUE,,,,,,
43,J8263,6/24/2021 8:35,5.990808,5.482052,-2.764712,8.246764,0.580467228,-1.003992766,FALSE,FALSE,TRUE,FALSE,,,,,,
44,J8238,6/24/2021 8:35,-0.7028956,9.3638456,-4.3243064,13.688152,1.057065718,-1.798503774,FALSE,FALSE,TRUE,FALSE,,,,,,
45,J8281,6/24/2021 8:35,-3.191557,1.962216,-0.257771,2.219987,1.218814364,-1.627545591,TRUE,FALSE,TRUE,FALSE,,,,,,
46,J8282,6/24/2021 8:35,1.699163,0.850785,-1.7998321,2.6506171,0.69055563,-0.773308591,TRUE,FALSE,TRUE,FALSE,,,,,,
47,J8289,6/24/2021 8:35,2.488755,3.274383,-1.98189,5.256273,0.282352692,-0.48128434,FALSE,FALSE,TRUE,TRUE,,,,,,
48,J8257,6/23/2021 18:58,1.714269,2.340902,-4.075998,6.4169,1.122442601,-0.910514446,FALSE,FALSE,TRUE,FALSE,,,,,,
49,J8287,6/23/2021 18:57,1.145936,2.80305,-4.357017,7.160067,1.14860784,-0.965821242,FALSE,FALSE,TRUE,FALSE,,,,,,
50,J8288,6/23/2021 18:57,14.09335,0.87177,-2.12371,2.99548,1.052220655,-1.161940997,FALSE,FALSE,TRUE,FALSE,,,,,,
51,J8292,6/23/2021 18:57,16.02961,0.87976,-1.77142,2.65118,1.022789089,-1.181901989,TRUE,FALSE,TRUE,FALSE,,,,,,
52,J8285,6/23/2021 18:57,5.722329,2.313856,-4.8780762,7.1919322,0.482578872,-0.773608488,FALSE,FALSE,TRUE,FALSE,,,,,,
53,J8286,6/23/2021 18:57,2.343949,1.338708,-2.5500079,3.8887159,0.727571276,-0.58082795,FALSE,FALSE,TRUE,FALSE,,,,,,
54,J8275,6/23/2021 7:18,2.557535,0.61597,-3.2102163,3.8261863,0.415497663,-0.742995646,FALSE,FALSE,TRUE,FALSE,,,,,,
55,J8278,6/23/2021 7:18,3.637198,1.095393,-0.34235,1.437743,0.618014877,-0.775107469,TRUE,FALSE,TRUE,FALSE,,,,,,
56,J8247,6/22/2021 20:37,13.9834,3.31917,-9.001189,12.320359,1.250223466,-1.435148468,FALSE,FALSE,TRUE,FALSE,,,,,,
57,J8252,6/22/2021 20:37,286.2747,0.1608,-0.673,0.8338,0.28108487,-0.477799273,TRUE,FALSE,TRUE,TRUE,,,,,,
58,J8276,6/22/2021 20:37,1.604268,4.883461,-2.5169535,7.4004145,0.766030804,-1.214783335,FALSE,FALSE,TRUE,FALSE,,,,,,
59,J8277,6/22/2021 20:37,2.352523,2.557595,-1.4539478,4.0115428,0.790946101,-0.980251844,FALSE,FALSE,TRUE,FALSE,,,,,,
60,J8244,6/22/2021 20:37,6.400848,5.622162,-3.002167,8.624329,0.35438425,-0.551592751,FALSE,FALSE,TRUE,FALSE,,,,,,
61,J8153,6/22/2021 20:37,3.004037,4.537156,-10.991192,15.528348,0.74616931,-1.127093864,FALSE,FALSE,TRUE,FALSE,,,,,,
62,J8149,6/22/2021 8:31,4.9569,4.565221,-1.972964,6.538185,1.267497636,-1.943910003,FALSE,FALSE,TRUE,FALSE,,,,,,
63,J8213,6/22/2021 8:31,10.2909,6.82615,-14.392734,21.218884,0.986079871,-1.161884337,FALSE,FALSE,TRUE,FALSE,,,,,,
64,J8154,6/22/2021 8:31,6.248053,8.989117,-4.237627,13.226744,0.257793414,-0.450268318,FALSE,FALSE,TRUE,TRUE,,,,,,
65,J8156,6/22/2021 8:31,2.593472,4.011891,-1.6631388,5.6750298,0.932239129,-1.57839111,FALSE,FALSE,TRUE,FALSE,,,,,,
66,J8207,6/22/2021 8:31,6.034981,2.431039,-1.420979,3.852018,0.502562915,-0.447919121,FALSE,FALSE,TRUE,FALSE,,,,,,
67,J8251,6/22/2021 8:31,4.494937,3.969859,-1.935307,5.905166,0.225375895,-0.277965034,FALSE,FALSE,TRUE,TRUE,,,,,,
68,J8253,6/22/2021 8:31,8.667463,0.419021,-0.448944,0.867965,0.348341161,-0.565186488,TRUE,TRUE,TRUE,FALSE,,,,,,
69,J8248,6/22/2021 8:31,8.341468,3.781802,-1.984723,5.766525,0.631309893,-1.015669078,FALSE,FALSE,TRUE,FALSE,,,,,,
70,J8262,6/22/2021 8:31,6.942827,4.447643,-8.356834,12.804477,1.068348457,-1.276984847,FALSE,FALSE,TRUE,FALSE,,,,,,
71,J8258,6/22/2021 8:31,-2.937,1.871174,-5.270879,7.142053,0.735222566,-0.645225493,FALSE,FALSE,TRUE,FALSE,,,,,,
72,J8254,6/22/2021 8:31,0.0291071,0.3308654,-0.8479381,1.1788035,0.238155999,-0.52795558,TRUE,FALSE,TRUE,FALSE,,,,,,
73,J8250,6/21/2021 21:23,3.013459,0.349651,-2.118645,2.468296,0.317120545,-0.454758085,FALSE,FALSE,TRUE,TRUE,,,,,,
74,J8242,6/21/2021 21:23,10.1039,0.48601,-0.643003,1.129013,0.507272335,-0.578085825,TRUE,FALSE,TRUE,FALSE,,,,,,
75,J8169,6/21/2021 14:50,-0.4447207,0.8214188,-2.9161153,3.7375341,0.180240259,-0.428884294,FALSE,FALSE,TRUE,TRUE,,,,,,
76,J8234,6/21/2021 14:50,-2.341846,6.354748,-2.223138,8.577886,0.945242914,-1.307492437,FALSE,FALSE,TRUE,FALSE,,,,,,
77,J8255,6/21/2021 14:50,2.841972,1.922555,-0.76483,2.687385,0.644688063,-0.502581605,TRUE,FALSE,TRUE,FALSE,,,,,,
78,J8256,6/21/2021 14:50,1.72844,2.439801,-1.65956181,4.09936281,0.28752783,-0.573661058,FALSE,FALSE,TRUE,FALSE,,,,,,
79,J8259,6/21/2021 14:50,6.632258,1.89231,-4.575931,6.468241,0.316294594,-0.497722487,FALSE,FALSE,TRUE,TRUE,,,,,,
80,J8236,6/21/2021 8:53,3.088697,1.854824,-0.797094,2.651918,0.781753209,-0.876278684,TRUE,FALSE,TRUE,FALSE,,,,,,
81,J8237,6/21/2021 8:53,0.9879298,2.0554212,-0.4910797,2.5465009,1.50511521,-1.846894677,FALSE,FALSE,TRUE,FALSE,,,,,,
82,J8239,6/21/2021 8:53,1.706117,7.119183,-2.76281,9.881993,1.280601284,-1.655754068,FALSE,FALSE,TRUE,FALSE,,,,,,
83,J8243,6/21/2021 8:53,4.714239,1.916992,-0.865608,2.7826,1.205410713,-1.590042417,TRUE,FALSE,TRUE,FALSE,,,,,,
84,J8240,6/21/2021 8:53,5.377428,1.533032,-0.690681,2.223713,1.227527675,-1.492558767,TRUE,FALSE,TRUE,FALSE,,,,,,
85,J8241,6/21/2021 8:53,7.986497,1.013016,-1.88306,2.896076,1.131380936,-1.330081268,TRUE,FALSE,TRUE,FALSE,,,,,,
86,J8146,6/21/2021 8:53,-10.62429,1.352553,-1.08412,2.436673,1.083940838,-1.005362817,TRUE,FALSE,TRUE,FALSE,,,,,,
87,J8245,6/21/2021 8:53,0.521492,2.049228,-0.7596675,2.8088955,1.016773394,-1.321139167,FALSE,FALSE,TRUE,FALSE,,,,,,
88,J8246,6/21/2021 8:53,-3.579903,1.779161,-0.466546,2.245707,1.327374101,-1.651688638,TRUE,FALSE,TRUE,FALSE,,,,,,
89,J8249,6/21/2021 8:53,5.871051,4.724609,-2.60156,7.326169,0.85789769,-1.391442825,FALSE,FALSE,TRUE,FALSE,,,,,,
90,J7994,6/21/2021 8:53,5.240052,2.939049,-6.0739649,9.0130139,1.143691495,-1.023471342,FALSE,FALSE,TRUE,FALSE,,,,,,
91,J8150,6/21/2021 8:53,11.52308,3.05108,-6.592157,9.643237,0.651548077,-0.965076336,FALSE,FALSE,TRUE,FALSE,,,,,,
92,J8225,6/21/2021 8:53,2.502441,6.136922,-3.757694,9.894616,0.771243842,-1.446735455,FALSE,FALSE,TRUE,FALSE,,,,,,
93,J8044,6/18/2021 22:43,-2.349408,0.989096,-1.239035,2.228131,1.125646623,-0.781685545,TRUE,FALSE,TRUE,FALSE,,,,,,
94,J8152,6/18/2021 12:31,7.100531,2.233188,-6.2351123,8.4683003,0.642375808,-0.870163751,FALSE,FALSE,TRUE,FALSE,,,,,,
95,J8212,6/18/2021 12:31,-2.263958,7.583399,-4.392163,11.975562,0.631640434,-0.943901249,FALSE,FALSE,TRUE,FALSE,,,,,,
96,J8219,6/18/2021 12:31,2.691399,0.5619,-1.234758,1.796658,0.335521648,-0.719765669,TRUE,FALSE,TRUE,FALSE,,,,,,
97,J8222,6/18/2021 12:31,9.888882,3.136558,-1.893958,5.030516,0.32646872,-0.584543129,FALSE,FALSE,TRUE,FALSE,,,,,,
98,J8226,6/18/2021 12:31,5.584461,12.192049,-5.108517,17.300566,1.564595359,-2.572487124,FALSE,FALSE,FALSE,FALSE,,,,,,
99,J8220,6/18/2021 12:31,-6.28035,0.333314,-1.570784,1.904098,0.261144834,-0.416518818,TRUE,FALSE,TRUE,TRUE,,,,,,
100,J8224,6/18/2021 12:31,-2.396258,8.35943,-3.02438,11.38381,1.058944826,-1.350867131,FALSE,FALSE,TRUE,FALSE,,,,,,
101,J8231,6/18/2021 12:31,1.836493,2.260414,-5.612516,7.87293,0.943394459,-1.255600469,FALSE,FALSE,TRUE,FALSE,,,,,,
102,J8233,6/18/2021 12:31,1.996537,1.005062,-2.1144668,3.1195288,1.143222786,-1.695557624,FALSE,FALSE,TRUE,FALSE,,,,,,
103,J8168,6/18/2021 12:31,-0.3044491,1.2585425,-0.1314471,1.3899896,0.729846899,-0.606595255,TRUE,FALSE,TRUE,FALSE,,,,,,
104,J8227,6/18/2021 12:31,-1.14952,12.86297,-5.047652,17.910622,1.368057497,-2.180409816,FALSE,FALSE,FALSE,FALSE,,,,,,
105,J8228,6/18/2021 12:31,7.590211,8.547809,-3.42733,11.975139,0.977270286,-1.502816801,FALSE,FALSE,TRUE,FALSE,,,,,,
106,J8229,6/18/2021 12:31,-0.5355278,6.9687428,-2.2328282,9.201571,1.547523796,-2.268968051,FALSE,FALSE,FALSE,FALSE,,,,,,
107,J8232,6/18/2021 12:31,0.625845,3.25066,-1.0013462,4.2520062,1.26391492,-1.543247017,FALSE,FALSE,TRUE,FALSE,,,,,,
108,J8209,6/17/2021 21:55,2.062753,11.290347,-5.53724,16.827587,0.579709991,-0.649211568,FALSE,FALSE,TRUE,FALSE,,,,,,
109,J8223,6/17/2021 21:55,-0.1841594,3.4855984,-1.3585846,4.844183,0.886055013,-1.140260901,FALSE,FALSE,TRUE,FALSE,,,,,,
110,J8218,6/17/2021 21:55,5.918303,2.192197,-1.213048,3.405245,0.917450449,-1.208187081,FALSE,FALSE,TRUE,FALSE,,,,,,
111,J8163,6/17/2021 21:55,-14.46305,0.37967,-1.58079,1.96046,0.387837957,-0.619561417,TRUE,FALSE,TRUE,FALSE,,,,,,
112,J8164,6/17/2021 21:55,1.183072,0.391746,-1.329543,1.721289,0.377657636,-0.772007706,TRUE,FALSE,TRUE,FALSE,,,,,,
113,J8160,6/17/2021 21:55,6.529372,1.288921,-0.704165,1.993086,0.660670631,-0.540156197,TRUE,FALSE,TRUE,FALSE,,,,,,
114,J8161,6/17/2021 21:55,0.408124,0.0905597,-0.9137093,1.004269,0.286105322,-0.663663372,TRUE,FALSE,TRUE,FALSE,,,,,,
115,J8162,6/17/2021 21:55,-5.43041,0.33728,-1.274368,1.611648,0.392170842,-0.445770369,TRUE,FALSE,TRUE,TRUE,,,,,,
116,J8155,6/17/2021 21:55,-8.494023,1.185602,-0.263321,1.448923,0.383559601,-0.270851625,TRUE,FALSE,TRUE,TRUE,,,,,,
117,J8157,6/17/2021 21:55,3.870298,1.450762,-0.93215,2.382912,0.441312495,-0.601811063,TRUE,FALSE,TRUE,FALSE,,,,,,
118,J8020,6/17/2021 21:55,-10.00266,1.334536,-0.61928,1.953816,0.621474978,-0.682217294,TRUE,FALSE,TRUE,FALSE,,,,,,
119,J8206,6/17/2021 11:20,5.517174,0.970489,-1.22143,2.191919,0.940867071,-0.966696593,TRUE,FALSE,TRUE,FALSE,,,,,,
120,J8210,6/17/2021 11:20,3.785863,11.212607,-4.2374627,15.4500697,1.662470667,-2.334383234,FALSE,FALSE,FALSE,FALSE,,,,,,
121,J8215,6/17/2021 11:20,1.592248,1.921952,-5.245897,7.167849,0.269703054,-0.554259084,FALSE,FALSE,TRUE,FALSE,,,,,,
122,J7957,6/17/2021 11:20,-0.4832901,4.4266661,-2.1979189,6.624585,0.380843616,-0.662514529,FALSE,FALSE,TRUE,FALSE,,,,,,
123,J8216,6/17/2021 11:20,9.400397,4.759113,-1.377981,6.137094,1.357845854,-1.673423549,FALSE,FALSE,TRUE,FALSE,,,,,,
124,J8217,6/17/2021 11:20,5.20117,1.069368,-0.762316,1.831684,0.933752915,-0.829590346,TRUE,FALSE,TRUE,FALSE,,,,,,
125,J8221,6/17/2021 11:20,5.678279,1.233331,-1.392894,2.626225,1.077806233,-1.585686426,TRUE,FALSE,TRUE,FALSE,,,,,,
126,J8148,6/17/2021 11:20,-9.85474,0.229975,-0.80156,1.031535,0.294621955,-0.747516118,TRUE,FALSE,TRUE,FALSE,,,,,,
127,J8147,6/17/2021 11:20,-10.51417,0.595969,-1.29129,1.887259,0.346831287,-0.662933304,TRUE,FALSE,TRUE,FALSE,,,,,,
128,J8208,6/17/2021 11:20,-9.270801,1.197523,-0.788109,1.985632,0.673014652,-1.0777715,TRUE,FALSE,TRUE,FALSE,,,,,,
129,J8214,6/17/2021 11:20,0.01993967,4.79921633,-2.35407467,7.153291,0.608195671,-1.044152836,FALSE,FALSE,TRUE,FALSE,,,,,,
130,J8158,6/16/2021 21:05,6.941418,0.821189,-1.536714,2.357903,0.559392739,-0.968527985,TRUE,FALSE,TRUE,FALSE,,,,,,
131,J8159,6/16/2021 21:05,8.247293,5.044857,-9.541481,14.586338,1.109769565,-1.123042482,FALSE,FALSE,TRUE,FALSE,,,,,,
132,J8151,6/16/2021 21:05,-9.240136,0.723178,-0.964304,1.687482,0.69317992,-0.739197795,TRUE,FALSE,TRUE,FALSE,,,,,,
133,J8167,6/16/2021 21:05,-3.918112,0.222762,-0.626751,0.849513,0.342833252,-0.459421511,TRUE,FALSE,TRUE,TRUE,,,,,,
134,J8205,6/16/2021 21:05,4.219442,7.694738,-3.8381722,11.5329102,0.833782326,-1.367726399,FALSE,FALSE,TRUE,FALSE,,,,,,
135,J8172,6/16/2021 21:05,-7.506877,1.256225,-1.107497,2.363722,0.840015914,-1.07667633,TRUE,FALSE,TRUE,FALSE,,,,,,
136,J8173,6/16/2021 21:05,5.787221,0.14207,-0.612445,0.754515,0.224008608,-0.340920821,TRUE,FALSE,TRUE,TRUE,,,,,,
137,J8018,6/16/2021 21:05,11.51934,0.8906,-1.04265,1.93325,0.466203026,-0.799918327,TRUE,FALSE,TRUE,FALSE,,,,,,
138,J8166,6/16/2021 21:05,-21.74637,0.2598,-0.54437,0.80417,0.197514241,-0.377444488,TRUE,FALSE,TRUE,TRUE,,,,,,
139,J8171,6/16/2021 21:05,-10.79681,0.11085,-0.97414,1.08499,0.355236643,-0.855653544,TRUE,FALSE,TRUE,FALSE,,,,,,
140,J7963,6/16/2021 21:05,1.430981,1.6707,-1.436607546,3.107307546,0.368824084,-0.685619787,TRUE,FALSE,TRUE,FALSE,,,,,,
141,J7995,6/16/2021 21:05,-14.21244,0.8776,-0.6171,1.4947,0.372065796,-0.583339721,TRUE,FALSE,TRUE,FALSE,,,,,,
142,J7965,6/16/2021 21:05,10.57601,1.4544,-0.782077,2.236477,0.291496739,-0.473823491,TRUE,FALSE,TRUE,TRUE,,,,,,
143,J8037,6/16/2021 21:05,-3.882396,0.518321,-1.179329,1.69765,0.571416133,-1.112095991,TRUE,FALSE,TRUE,FALSE,,,,,,
144,J8174,6/15/2021 11:24,6.733524,0.673284,-0.675783,1.349067,0.335581962,-0.39632911,TRUE,FALSE,TRUE,TRUE,,,,,,
145,J8170,6/15/2021 11:24,47.90495,0.33616,-1.17937,1.51553,0.526087415,-0.815972796,TRUE,FALSE,TRUE,FALSE,,,,,,
146,J8165,6/15/2021 11:24,-3.604809,2.088393,-1.268381,3.356774,1.006267537,-1.625433468,FALSE,FALSE,TRUE,FALSE,,,,,,
147,J8145,6/15/2021 11:24,1.693784,0.758663,-0.248046,1.006709,0.521782908,-0.359397316,TRUE,FALSE,TRUE,FALSE,,,,,,
148,J7949,6/11/2021 15:12,0.1916806,1.2214814,-0.3247282,1.5462096,0.896299599,-0.989244908,TRUE,FALSE,TRUE,FALSE,,,,,,
149,J7970,6/11/2021 15:12,0.9994472,5.6601078,-2.3405632,8.000671,0.891959615,-1.409714021,FALSE,FALSE,TRUE,FALSE,,,,,,
150,J7979,6/11/2021 15:12,-3.413098,6.603398,-3.588081,10.191479,0.393805381,-0.817702678,FALSE,FALSE,TRUE,FALSE,,,,,,
151,J8043,6/11/2021 15:12,5.080745,1.591093,-2.32902,3.920113,0.895622718,-0.706488802,FALSE,FALSE,TRUE,FALSE,,,,,,
152,J7971,6/11/2021 15:12,2.550151,4.106417,-1.616639,5.723056,0.765963988,-0.920145404,FALSE,FALSE,TRUE,FALSE,,,,,,
153,J3939,6/8/2021 7:24,1.457512,2.655555,-6.670843,9.326398,0.213339765,-0.475586424,FALSE,FALSE,TRUE,TRUE,,,,,,
154,J8054,6/7/2021 19:22,1.843557,0.050313,-0.821501,0.871814,0.241513791,-0.529954437,TRUE,FALSE,TRUE,FALSE,,,,,,
155,J8056,6/7/2021 19:22,4.201573,6.013197,-3.650013,9.66321,0.429552284,-0.954290959,FALSE,FALSE,TRUE,FALSE,,,,,,
156,J7891,6/7/2021 19:22,-0.1253257,0.3391982,-0.6618116,1.0010098,0.346239377,-0.610180317,TRUE,FALSE,TRUE,FALSE,,,,,,
157,J7959,6/7/2021 8:22,4.06658,0.677017,-0.824177,1.501194,0.178063704,-0.337482858,TRUE,FALSE,TRUE,TRUE,,,,,,
158,J7975,6/7/2021 8:22,0.4412898,2.3464862,-1.2971799,3.6436661,0.309586817,-0.356199953,FALSE,FALSE,TRUE,TRUE,,,,,,
159,J8021,6/7/2021 8:22,7.05014,0.663203,-0.66869,1.331893,0.343582822,-0.361233108,TRUE,FALSE,TRUE,TRUE,,,,,,
160,J8038,6/7/2021 8:22,-15.478,11.544249,-2.27135,13.815599,10.97098526,-0.621963689,FALSE,FALSE,FALSE,FALSE,,,,,,
161,J8036,6/7/2021 8:22,1.475623,1.923103,-0.6997098,2.6228128,0.785249245,-1.245281048,TRUE,FALSE,TRUE,FALSE,,,,,,
162,J8042,6/7/2021 8:22,1.214324,1.577665,-2.0897215,3.6673865,0.756381703,-0.725795282,FALSE,FALSE,TRUE,FALSE,,,,,,
163,J7939,6/7/2021 7:59,564.4394,11.2415,-3.7671,15.0086,1.760064341,-2.023133011,FALSE,FALSE,FALSE,FALSE,,,,,,
164,J7991,6/7/2021 7:59,5.434445,0.336311,-0.91811,1.254421,0.418699628,-0.612147327,TRUE,FALSE,TRUE,FALSE,,,,,,
165,J8053,6/7/2021 7:59,13.73263,4.89206,-8.648371,13.540431,1.042967869,-1.226179606,FALSE,FALSE,TRUE,FALSE,,,,,,
166,J7894,6/7/2021 7:59,-0.9611562,0.0465601,-0.8821268,0.9286869,0.271617902,-0.661070092,TRUE,FALSE,TRUE,FALSE,,,,,,
167,J8055,6/7/2021 7:59,0.4499711,7.9195759,-4.0754491,11.995025,0.778354003,-1.295659746,FALSE,FALSE,TRUE,FALSE,,,,,,
168,J7877,6/4/2021 17:38,7.695434,0.135221,-0.838338,0.973559,0.332261315,-0.564002809,TRUE,FALSE,TRUE,FALSE,,,,,,
169,J7908,6/4/2021 17:38,3.136442,0.096283,-0.611128,0.707411,0.279688404,-0.438964866,TRUE,FALSE,TRUE,TRUE,,,,,,
170,J7902,6/4/2021 17:38,10.38861,4.51417,-2.779729,7.293899,0.48972523,-1.038894774,FALSE,FALSE,TRUE,FALSE,,,,,,
171,J8039,6/4/2021 17:38,-3.772584,2.140379,-1.570337,3.710716,0.227542489,-0.447392585,FALSE,FALSE,TRUE,TRUE,,,,,,
172,J7962,6/4/2021 17:38,-0.827637,3.238683,-1.84359,5.082273,0.192194536,-0.3997305,FALSE,FALSE,TRUE,TRUE,,,,,,
173,J7882,6/4/2021 7:34,-5.129853,3.842878,-2.122532,5.96541,0.333509993,-0.66478482,FALSE,FALSE,TRUE,FALSE,,,,,,
174,J7973,6/4/2021 7:34,2.954854,1.17367,-1.033486,2.207156,0.355493203,-0.417332801,TRUE,FALSE,TRUE,TRUE,,,,,,
